# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
0 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 0 00000000.png

1 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 1 00000000.png

2 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 2 00000000.png

3 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 3 00000000.png

4 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 4 00000000.png

5 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 5 00000000.png

6 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 6 00000000.png

7 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 7 00000000.png

8 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 8 00000000.png

9 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 9 00000000.png

10 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 10 00000000.png

11 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 11 00000000.png

12 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 12 00000000.png

13 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 13 00000000.png

14 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 14 00000000.png

15 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 15 00000000.png

16 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 16 00000000.png

17 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 17 00000000.png

18 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 18 00000000.png

19 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 19 00000000.png

20 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 20 00000000.png

21 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 21 00000000.png

22 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 22 00000000.png

23 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 23 00000000.png

24 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 24 00000000.png

25 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 25 00000000.png

26 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 26 00000000.png

27 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 27 00000000.png

28 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 28 00000000.png

29 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 29 00000000.png

30 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 30 00000000.png

31 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 31 00000000.png

32 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 32 00000000.png

33 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 33 00000000.png

34 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 34 00000000.png

35 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 35 00000000.png

36 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 36 00000000.png

37 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 37 00000000.png

38 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 38 00000000.png

39 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 39 00000000.png

40 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 40 00000000.png

41 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 41 00000000.png

42 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 42 00000000.png

43 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 43 00000000.png

44 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 44 00000000.png

45 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 45 00000000.png

46 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 46 00000000.png

47 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 47 00000000.png

48 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 48 00000000.png

49 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 49 00000000.png

50 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 50 00000000.png

51 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 51 00000000.png

52 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 52 00000000.png

53 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 53 00000000.png

54 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 54 00000000.png

55 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 55 00000000.png

56 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 56 00000000.png

57 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 57 00000000.png

58 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 58 00000000.png

59 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 59 00000000.png

60 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 60 00000000.png

61 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 61 00000000.png

62 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 62 00000000.png

63 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 63 00000000.png

64 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 64 00000000.png

65 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 65 00000000.png

66 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 66 00000000.png

67 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 67 00000000.png

68 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 68 00000000.png

69 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 69 00000000.png

70 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 70 00000000.png

71 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 71 00000000.png

72 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 72 00000000.png

73 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 73 00000000.png

74 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 74 00000000.png

75 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 75 00000000.png

76 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 76 00000000.png

77 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 77 00000000.png

78 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 78 00000000.png

79 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 79 00000000.png

80 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 80 00000000.png

81 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 81 00000000.png

82 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 82 00000000.png

83 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 83 00000000.png

84 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 84 00000000.png

85 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 85 00000000.png

86 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 86 00000000.png

87 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 87 00000000.png

88 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 88 00000000.png

89 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 89 00000000.png

90 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 90 00000000.png

91 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 91 00000000.png

92 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 92 00000000.png

93 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 93 00000000.png

94 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 94 00000000.png

95 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 95 00000000.png

96 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 96 00000000.png

97 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 97 00000000.png

98 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 98 00000000.png

99 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 99 00000000.png

100 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 100 00000000.png

101 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 101 00000000.png

102 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 102 00000000.png

103 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 103 00000000.png

104 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 104 00000000.png

105 -0.9818 -0.0503265 -0.178582 -0.0405482 -0.263441 -0.832166 3.51618 105 00000000.png

